,id,let,;,if,(,),for,{,},=,%=,print,input,return,function,coma,int,string,boolean,<,-,!,entero,cadena,$,S1,S,A,B,B1,C,D,F,F1,F2,F3,G,H,K,L,Q,T,X,E,E1,E3,
0,d9,d4,,d5,,,d7,,,,,d10,d11,d12,d13,,,,,,,,,,r3,,1,,2,,6,,3,8,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,
2,d9,d4,,d5,,,d7,,,,,d10,d11,d12,d13,,,,,,,,,,r3,,14,,2,,6,,3,8,,,,,,,,,,,,,
3,d9,d4,,d5,,,d7,,,,,d10,d11,d12,d13,,,,,,,,,,r3,,15,,2,,6,,3,8,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,d17,d18,d19,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
5,,,,,d20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r8,r8,,r8,,,r8,,r8,,,r8,r8,r8,r8,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,
7,,,,,d21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,d23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,
9,,,,,d24,,,,,d26,d25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,d27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,d28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,d35,,r39,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,29,30,31,32,
13,d38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,
16,d39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,r35,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,r36,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,r37,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,40,31,32,
21,d42,,r18,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
22,,,,,,,,d44,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,
23,,,,,,r5,,,,,,,,,,,d17,d18,d19,,,,,,,,,45,,,,,,,,,,,,,,46,,,,,
24,d35,,,,d34,r32,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,47,,,,48,31,32,
25,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,49,31,32,
26,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,50,31,32,
27,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,51,31,32,
28,d52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,d53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,r38,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,r41,,,r41,,,,,,,,,,r41,,,,r41,d55,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,r43,,,r43,,,,,,,,,,r43,,,,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,
33,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,,,56,
34,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,57,31,32,
35,,,r46,,d58,r46,,,,,,,,,,r46,,,,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,r48,,,r48,,,,,,,,,,r48,,,,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,r49,,,r49,,,,,,,,,,r49,,,,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,r28,,,,,,,,,,,,d17,d18,d19,,,,,,,,,,,,,,,,,,,59,,,,60,,,,,
39,,,r11,,,,,,,d62,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,
40,,,,,,d63,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,d64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,d66,d65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,r21,r21,,r21,,,r21,,,,,r21,r21,r21,r21,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,
44,d9,d4,,d5,,,d7,,r26,,,d10,d11,d12,,,,,,,,,,,,,,,68,,6,,,,,,67,,,,,,,,,,
45,,,,,,d69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,d70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,d71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,r34,,,,,,,,,,d73,,,,d54,,,,,,,,,,,,,,,,,,,,,72,,,,,,
49,,,d74,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,d75,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,d76,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,d77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,r17,r17,,r17,,,r17,,r17,,,r17,r17,r17,r17,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,
54,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,,78,32,
55,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,,,79,
56,,,r44,,,r44,,,,,,,,,,r44,,,,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,d80,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,d35,,,,d34,r32,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,81,,,,48,31,32,
59,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,d82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,83,31,32,
63,d9,,,,,,,,,,,d10,d11,d12,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,
64,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,85,31,32,
65,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,86,31,32,
66,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,87,31,32,
67,,,,,,,,,d88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,d9,d4,,d5,,,d7,,r26,,,d10,d11,d12,,,,,,,,,,,,,,,68,,6,,,,,,89,,,,,,,,,,
69,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,r30,,,,,,,,,,d91,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,
71,,,d92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,d35,,,,d34,,,,,,,,,,,,,,,,,d33,d36,d37,,,,,,,,,,,,,,,,,,,,93,31,32,
74,r13,r13,,r13,,,r13,,r13,,,r13,r13,r13,r13,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,
75,r14,r14,,r14,,,r14,,r14,,,r14,r14,r14,r14,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,
76,,,d94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,d95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,r40,,,r40,,,,,,,,,,r40,,,,r40,d55,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,r42,,,r42,,,,,,,,,,r42,,,,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,r45,,,r45,,,,,,,,,,r45,,,,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,d96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,r6,r6,,r6,,,r6,,r6,,,r6,r6,r6,r6,,,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,
83,,,r10,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,r7,r7,,r7,,,r7,,r7,,,r7,r7,r7,r7,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,
85,,,d97,,,,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,r19,,,r19,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,r20,,,r20,,,,,,,,,,,,,,d54,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,r24,r24,,r24,,,r24,,,,,r24,r24,r24,r24,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,d17,d18,d19,,,,,,,,,,,,,,,,,,,,,,,98,,,,,
92,r12,r12,,r12,,,r12,,r12,,,r12,r12,r12,r12,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,r34,,,,,,,,,,d73,,,,d54,,,,,,,,,,,,,,,,,,,,,99,,,,,,
94,r15,r15,,r15,,,r15,,r15,,,r15,r15,r15,r15,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,
95,r16,r16,,r16,,,r16,,r16,,,r16,r16,r16,r16,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,
96,,,r47,,,r47,,,,,,,,,,r47,,,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,
97,d42,,r18,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
98,d101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,d102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,r30,,,,,,,,,,d91,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,
102,,,,,,,,d104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,d9,d4,,d5,,,d7,,r26,,,d10,d11,d12,,,,,,,,,,,,,,,68,,6,,,,,,105,,,,,,,,,,
105,,,,,,,,,d106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,r9,r9,,r9,,,r9,,r9,,,r9,r9,r9,r9,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,
